recipient,artist_profile,num_drops,num_unique_minters,num_farcaster_minters,num_transactions,usd_value_of_transactions,uuid_list,application_id_list
0x0dE1Bf69e2c04e6cb948cB51Bc70E13d159A0917,"tako-unik",3,20,18,53,222.65149919,['ad4efb82-1f9d-414c-9916-7dc1a420fcf7'],['0x13f4148f1ff1435c9fdcf4b4d117dc9d25b293dfc10619f41e369f4813a40d1b']
0x1198B8935fF1A7f981f09560b12707409Db431f0,"musicaw3",9,1482,447,1901,3881.2189934199987,"['a974f9c4-7ac4-4902-8cd2-2b16379806a2','e964d28a-ae5c-47aa-9af8-cde440e75010']","['0x4ab88f4257aa75e9a367415965198b00d9dfbb3cf357d5311ea30b0b42d64458', '0x96d8473408976ac61f3fd71efff52ec1c16ed02bcc4de07a4a84b8970104a4fd']"
0x12364E7C6f50927AC0242E764Fd44de5bfe29384,"chicbangs.eth",2,14,7,31,21.972576540000002,['26bddf6d-5284-4c44-b308-696a8c3e86e6'],['0x12b462956bc3fa20389efc44a3aff79e03aa698d41eacaeeca86ae4399d750f4']
0x1471966abfe75cF87Fdad8B76D657EAB8400f0B0,"sreeranj",3,43,40,64,134.56989036,['76b4982d-cdd8-47e8-acfd-59efabb97d06'],['0x8e653f95ec846c3442e5ac0ea556446278abb275239516ba5e0095213f2dee08']
0x150724414108bE86992Bb00a4e4b5C40c9D0CACf,"sato99",4,124,41,141,315.95701116000004,['e4be1635-f00d-4d23-9022-a30da659a95e'],['0x5ac4e474f295d9abdf474b1ced47b956f93d2be95c9c7554117e72aaab5d8cfa']
0x1609f039A96ce10756f5C6D403a80400DC081a02,"cryptomage-yt",8,113,49,130,117.07841883,['5cd966ac-44ad-4688-ab63-eef9c2a9a587'],['0x0834975b2ea9a9b9ff614e492a3a0e7d1110514e79043d8ced8ae822e79afac0']
0x185cDF961d21CB90d9ae75d5018e16B2e8Fc25F2,"bezos",6,145,134,74,11.084816889999999,['fdd7ad21-05cf-4d1f-8437-43539d4971df'],['0x2b1ec80e7b496d714f20ee8f84aa1a5638001f05f82a1109438e3bc53526e58d']
0x196B5B69bDEf5Aa71d7A18b5208Aa7be23CdE024,"bangyadi",1,1,1,1,0.30215532,['9b429ca3-10b8-4205-a590-b17028ac678b'],['0xc191af54d8eaa24f6001894d09b32d66d32163d5ce7eb669783334e79692acbb']
0x1A1c37C145a1EaB58C43F003EBB55C18083b5987,"davidtphung",36,16811,2531,18062,12277.607098950417,"['a978da12-e50b-4a57-ba97-cafc617e0f46','56a9acc7-420d-4b87-be2b-1b65efc48972','af8760fc-ab8f-4388-97c7-e08e43f92257','59841519-596a-4419-be7c-bfab332d9a63','431e852d-7b0d-4f99-807c-43d6652bfc1d']","['0x940d82a634ead7cc96fc109bd67707f9b7b80df048a0272ce472428712de6aa5', '0xedee2ec0215298eed5a475cb413b7c0301af2cd26af55896fd22964b00f55417', '0xc987960f0d3065317e3334b8ff2125b6174d08119aa401f565f055477d547226', '0xb11a7d7d8324706bad13c74999917198c3bc208136b33e9d1462b28210602b04', '0xe8ab28f03f3004a2fa3f4d242b4ba3e1c6f13969b0a605cc00dfe0fe86e021c9']"
0x1A3e2847d38CB68BB407a7E6A73A918A58fDcf3a,"pelingenc",1,51,45,51,108.82051278,['6878840a-eb1b-41be-bf7e-7fb742a68386'],['0xb72c751260664595050bbbb7d4d5240296a3168003c9266396ebb5e789f39b1f']
0x1D814FcD93874df29A737393ed7c7eD2eED7c3a6,"guys",3,1,1,3,0.8196939999999999,['16b85e45-730d-4d18-81f8-7d80a7d11898'],['0x89251a3ca059d02da0facdc78443e62558239bc5b616dd0c06b70ee2d6c874a7']
0x1E34a0DAEeDd3Aaaee515c92791e860591B04F0c,"projamkiller.eth",50,141,71,533,402.03113624580084,['371b567d-01bd-4be0-98b8-f90d2973ccec'],['0x2410b16d527eeff9c0ef0f776a07d3e0b9d50b60c8045f7d63acdc1a1ed8a2f8']
0x1F2a9082A7692aD4f1049B573313c52E49400137,"ida",15,324,251,981,407.70217656,['39c5fe87-832c-4cb6-abdf-7be77f68c753'],['0xe997bc04d9e0445531e438991bcafb8c415fab6c5854f9f5e95bcdbfe2641dc0']
0x1F3fa1A72acc23bB2269a89b4A1363EE72a9D4bf,"joec",10,605,154,773,740.2920882897156,['0e367a16-ec11-40d7-97c5-f872858a9321'],['0x69ce67011ca58bba6962e329aaa4992eab13c5db69f2d9746c871c41e800f0ed']
0x1fd2A56907B1db9B29c2D8F0037b6D4E104f5711,"williammartinez",5,40,8,18,0.0,['5578abce-d318-4189-887c-9fad9d24b428'],['0xdc96e2138bd95c329c8220dce55e2dade3c173180a075259a6bae614718dca5f']
0x212fC47e707eD36409154ebf8bCfd2aA0E26517B,"0xhellia",9,61215,9961,83196,20927.591097036897,['ccd139de-e7b6-4f9c-8058-b46b9e34bb23'],['0x07eef6001515b6c4e36ccd93468779a737a6c2ca77bdd308068bf1c9db528b6c']
0x21844640138A348474064180C93AD82f50c89357,"joshlippi",2,52,35,59,105.31777346999999,"['e3ce98dd-a235-4af2-8573-4a8ddc68e791','8fc43fa8-7a17-44a0-b026-c8a2572a911d']","['0x1dfdc7938274351e5c81437496c3e2f35002d5e68a5ff1e9e71ff9535cf6fb84', '0x1fc6b9ab945dffebb523b4ae73c5aa195cee72ea535bdd3cee09285eec68c540']"
0x22D02786f813A70c5699621810D0ea85efA07332,"eduxdux",6,326,244,432,2748.8431410199996,['9e020804-e6bc-4111-8c9e-ffc536bba0fb'],['0x493ed51ce095a4c993ed68776e24d5a8ee7f19fea85fa7624a15007b2cc4b25b']
0x22eC7a4429C381F5c382ac7ea624Cc05D37FfDDe,"letsglitchit",4,12189,8232,12390,3856.7471489700247,['bc43e27e-eb5e-4b4c-84a5-96031008a695'],['0xd9a8d5973367cac5c18648b62188187518d73d49f05fa951a2cd622b83e7de75']
0x24a0e4EE348f33252e83fE1e824499381dd21aa9,"acutek",11,452,157,487,752.8327123053422,"['82019dd2-e754-45db-becb-6ab9fd9111f7','fe107d8b-3ea7-42dc-8e19-2432e4394528']","['0x89c4d04fa53d051f51c4ad6e7205d022a95bc8c6e691d851f2cb397bfb8874c1', '0xddaef5e719c71ade745bafa5c893ac59452c9f2ed28864a2e6f334a79a89e56d']"
0x25493740e4507CbCCe792b951A9eff3953B774CD,"galechus",4,7,4,38,17.641254019999998,['50ddebba-e7a8-4935-a6e2-45e2a91bd48f'],['0x8ca054e11c0fdf131296c2f42b7e51add9d636578af9020f8c6dbf0d6bdb0211']
0x258a3790639F0dC736eAF5b8817706417C656a47,"cudaoutofmemory",1,811,242,958,1711.0277228699986,['10a38b6d-e432-403b-bd9c-9e0bbbeef72b'],['0xc3d1a57ca75f8416819fd0e7158c85a224a30962ad2070911269f5ad0f80841c']
0x2613515bE64341067Ea095f27b4EF3f80f12d009,"stulka",5,117,73,157,309.59478753,"['234d83aa-5cad-4d9f-b7c6-86ab8d8f9bc0','5c13293b-2b89-4655-a6aa-7dbee558138c','7087dd8b-6c5d-4030-80d7-04ff51ad2fe2','694e4027-4cd0-4740-a32a-3abf21992d23']","['0xb9109afee034952ba95f1170a976897a094da7b1f253a08f542eeb9b4896886a', '0xe3fe3544eae6469cc2e7e2d1dfe5d8b9d02b111bc31133050f922d1f0e8ff294', '0x196e5a5268f1a8ea5fbf8e5ea618ced139ad516ded3fc033e60aae5683877f40', '0xd3733ba2bc24c5637076734e24917a4b266f3c10a1f7cdd1159bcae232251b55']"
0x2627f584D7A3A28C42b741Bf4cB3F7cD1571546c,"virkkk",1,737,155,928,46.61195840115042,['e199aed7-8426-4ed3-936a-9dbc9395d688'],['0x69cf9decaf9fdec317cee4ad57627712c20f7c6c0cba8468aef950b073b96775']
0x2640914F852A6eFd4b3D72135df923EB7c5a1d31,"rapitu",3,35,29,65,0.1494458979159861,['598871ba-3b43-4ec2-ace3-93bb7792cf5c'],['0xe940ca02b870bbd872c22ba2cc028b64d80d2654b77c9217aa38b33609601610']
0x275725190DE3690e270fd65B12E4D717060F16B4,"omgbase",3,407,42,362,101.11686699999998,"['fd3430fd-229d-4f8c-9683-32bfed41fe2d','09246e90-94ee-452f-827c-b76adc306ab3','1a2cb058-6976-41ba-b7e7-9c7f7370583f','bfc4336b-55ff-415c-8949-85f7de499957','348ceef3-5bdd-4cd7-8fc4-54bfac146dbd']","['0x7c81f59b12e9606b23d9ead3b7344412d67366d51941956e4ddc4274936f6bab', '0x50f56a980bed9d493900e58f5547910ed8cbb6212855b10319759089ddbdf177', '0x8d10ee9b3d7920c4a62716b71a72727dee5fcc3a75952ff6001e76ecfc712149', '0x1a0efba8b01552e7d986562334e17dea3897b7fc768d805be8efd2a938b744e7', '0xe173c85930d83e75e6c50fc57bcdd36250d2838af206d65ad72787a748fbf792']"
0x286bE4Ec65521463524Aff75788F7D0E3AA42Ad0,"v5mt",9,690,370,990,1536.2562623383537,"['6519f6d1-ecda-4645-b241-d8af13ed8dad','166420f9-cd6b-47cb-a934-244c288b5eb2','cc4b516b-c2c1-41f2-a9b2-6d6cc6a35dcf']","['0xf1ce0ea850e37207c84baceb536543f6dd801ea2d66533b758005551f676e636', '0x7826e5fe7d9c4539ecd44b2fbe1666e35766036970854b9676d3bca05d349a5d', '0x4b64e8cfe450c467a63565d8077b2ff30e0834a033a62e496ec7d9fa92b68d5c']"
0x28abA2DFcf42eAdfEe60CeBFA650aC7184652424,"0xgiwa.eth",1,4,3,4,0.6128831699999999,['d2cfb67a-68a2-4f40-92c5-6f763a35e410'],['0x469bb93b4a571a6e97bc40a0bb0d06af2e8b744b25d1c31f745feec8b0f78ebc']
0x294a8f92d6872CDA9fE469Bf6118b5F31442b1B7,"silkway",1,45,26,55,5.078065136884501,['6b28dee1-da60-424e-8597-d9d116bc90b0'],['0xe68ac5a82a7fdd0ed4b374f41524e15d7c98142f2a95236f687dfa7d51ed97d4']
0x2961b02DcE896D5A63B57997A1ae124736dE2cF1,"lepro",12,112,100,563,6.320966327064292,['ca99ce43-9cad-43ff-bccf-ed26f80bc857'],['0xde46b3a289457d22a1104c1c9be86b0f1c07f4d9d75c57441728212c41f0fa3f']
0x29930111Ff12D3C75b5BE8889568C5aD6A9D6CB1,"jitz",17,22390,6138,31924,27489.481864903093,"['dfac5569-d035-4b83-9c13-e7fa2c4013bb','8658526a-eaa2-4362-900b-6a99a312f468']","['0xc3541d8b3d4b1f0c625c91d82fa7544afa52cc410cf06cd14cd087bb8678d1b4', '0x0925192fab4769ffa55092c17e46dc2fea2bd9292fb1a479ab987063df840ce5']"
