recipient,name,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,uuid_list,application_id_list
0x0000000000000000000000000000000000000000,stVol,6001.0,6001.0,132,132,21,21,3,1,['fe568f15-6e68-44fc-a355-de255b01502a'],['0x01e15817ba1feed50c67699f8ff4efc5959f6fb0b0dec64ebbfb0075bac5cfbc']
0x01133c3834a96aDd681a9C9Ad3b2f955968ed60F,ArbiLearn,36.0,36.0,10,10,1,1,0,0,"['6abc3227-4e7f-4786-863c-abdd23f488a2', '72d91704-0a5f-4ec7-9e6b-92d5d72df0bc']","['0x6c2055fcf064d103c27eaf3cb65e06ccebf3c740287cd46b2f6970b3dc92be52', '0xcc9ac0cc10bc7457f0d7360f399f95c42cafcc08cdede0a1498940b3c3f89118']"
0x013437412c41716f72B54fE66d7c11858aFe4894,BetBase,12901.0,32785.0,2146,4295,224,496,60,68,['8bd5539d-ef65-4f2c-9014-3fc11620f12f'],['0x04f2233951090d71b8808b4ec44c5420cbb51ab4de3f6cd174b07fe65a8cfa57']
0x022541dF816F50CfC6ce60c9de80619F44f7CeF1,datalatte,73.0,73.0,4,4,4,4,0,0,['78f0eac0-c56e-489c-a4e3-9c700ccf4ce8'],['0x1106ce8ccc67bc916b45abf5a57bb0e27973ab45a4c581a9e9499449e53322c7']
0x02cdD55Bea4d8Ef7E7dDA6A60305a03dfaB0C128,/send,51909.0,64239.0,2380,4329,142,307,71,72,"['40e9c64b-e468-4a27-8dfa-b392f5813c2e', '91d27ce9-b7f8-4c31-bba2-f8a0ba72eadb', 'b6cb620b-63ad-4ff7-b9bf-53c66db71dad', 'f7e0b2d9-b0c5-4464-9994-9ae3984a3579']","['0xa75ccd87c3fbb292bf9a322763a0b486e26f52b116c7def6f3220cac639ed1cc', '0x955198343589dfbf38f586759273ae6dbb4a9a1f8da4da397a6e0d47d151f8d5', '0xaf17857681965d3457e242fd9cd612bfb7cc01f90fb69a5ad1462ddb98f234ea', '0x460f2a03537c8441dea7bdfa961d60195a028106d566e9a703e59f8486035b4f']"
0x035eBd096AFa6b98372494C7f08f3402324117D3,Namespace - ENS Subname Sorcery,1683.0,1683.0,143,143,125,125,1,0,['45ca2132-cb78-4e41-aca2-61f2fe8c71c1'],['0xfc0b7702a61f526884036d21179a8800696f1ff1384fc276093b6c8cd9e0e328']
0x04333a1788a47068b9102D2d35695c312A0b312F,Flexclub,26.0,26.0,4,4,4,4,0,0,['60d26207-b562-4d92-b3af-1274cf7617b7'],['0x896998468f15b6decf26bef3903b580747f9c1ae5dff1e7cff400fe129d0ef46']
0x073f0DC58e9989C827bA5b7b35570B7315652e63,Gloom,132.0,41802.0,111,8195,49,5279,1,78,['b7e11cb2-d643-4f5f-99ce-803f396b31a5'],['0x9669547927613b0bff9a5db7738bc0ddb80d3deaebaef01cf75f67798ca61551']
0x08D816526BdC9d077DD685Bd9FA49F58A5Ab8e48,Collectr,217.0,217.0,164,164,57,57,2,1,['cb6ef65c-3136-4af7-9be1-c993d8789376'],['0xcd439dec608d3fa7bbc8852e9f3b35102dd856dfa796d91ddb803781c2473e81']
0x091Ce12B4592f1b434e597374BF6F054904F200A,Event Horizon DEX,319582.0,319702.0,69228,69245,6959,6962,851,426,"['278bd0d9-4887-44bb-bbdd-37f88a5f0e6b', '3b2e3fce-6673-4e1d-8b7d-83431ad27ee6', '3bbe2463-0d9b-4d12-bf59-1eaab405e941', '4c5edadc-00b0-4063-a62c-fc768c164921', '578a22eb-31d1-47d4-90fe-516b380b588a', '643b9cf2-c91b-4b10-9efc-3afa8beec654', '8280bdf5-79bf-4d5e-88c0-2ab18741e0f9', '8e56e88c-f02d-48cd-8208-9ebef2287d21', 'a8e6bf30-59cb-4b11-b938-8353effd846c', 'baa4fa61-e1e8-4e5f-91a4-9fceb08796ff']","['0x9309e4e621bbbca4cc1f9de736a0ee6f68142013a4ab555a0e2070c244cdc4d0', '0xceff880a8224685e3f0af226292f1edd7e33f09201fc362d820e2459ed682550', '0x0069e8ed99735e8e1187060ccde5ba20de9b8f574dbf9aecb21927592a6dfd28', '0xc03d1f5cb93ea09d0c8f98ad0ee97e7a47f1f3a763669d634f856d59c4d5db04', '0xce707336750cda057676aa545ac1c0c012aec22d3f18072dd361e41b9143cf39', '0x0305d636a2c3d0ee6bfff848c2890a6fada826e5d51f6dad0208199dc07a75fb', '0x2a119f3636f7398b1b2bda721e546d92349f8a103805e6d0f0015beec5bb5dc7', '0xe0f53dfd28b1e43caa7ba4b2414afeb279d13aa25b3622070b1e05ac5d2261c5', '0xda996afa7b9d5f512129ee40074fcfc65be4d48273d35250800255933237e90e', '0xd88f82d32a5e72e4713879cbc76f7490b532c525f5413cef74f6d8dbcba0b6c5']"
0x0B3CF56E7dF3BB3Fb7201fFcD96d279b05DDd2E3,Scoop,161652.0,161652.0,3070,3070,13,13,191,95,['3922c00b-976f-43dd-8e1a-616b686efee1'],['0xa5a91418f85f3207c795a3f10487776b1f97d0a724b1b6b4d8dd42f6ffda7085']
0x0b99C69c2D7A71fb372ACf2756E315A18E5150B1,NFT HOOK,4800.0,43202.0,3887,31182,297,1506,50,214,['785e4a36-2b93-4879-9f61-de92145313b7'],['0x87521fddf81002a8202884517913b6009d64fabf4d93ff33221f4c464a21ae86']
0x0c9E725902f2eeEC063c16d253F38684E3192001,Boregon Trail,74768.0,183331.0,2648,19870,995,6583,75,234,['b6dff2cb-33fa-449a-8434-6ef6ea5624c6'],['0x8aefffac24c21877983910adecda8f9de2a7199ca8d36ac3a3c80670b40b2435']
0x1014f9499259988e35F1C45F6aE6Aa9FBA011E80,fxhash,8095.0,136948.0,3959,49057,1781,20377,61,298,['74f31cd5-dcd5-4ae5-a481-a2b70b2d5200'],['0x622f6f36cee3c57a6c775bceb98df0727e6a0ab91abbc4bc9db445611a67d34d']
0x11a434254794e96d2606f249c6911E94765a5796,SwapBased,116396.0,462387.0,12191,43262,597,2210,329,662,['78f5358d-b614-42ec-a07b-7cad08ac4d9b'],['0x10ebaaad99b899b7f98aa62d6095d129b8a9fe9901f0bafae2f9e294ba710010']
0x12A2455CCa45D8f6d9149F0e996260Ae49EDA8B4,Mode Spray,34.0,148.0,5,18,1,3,0,0,['dcc07c2b-30d8-4aec-86a0-1d492f09d61d'],['0x218bbd346e0e560f68dda9dd6e5e224aa421ac3e209b1b2dd94f47dd47eb596b']
0x1395348Cb0E7b62E9DbaadA079B10A4E6AC26a8F,Ionic,108462.0,772432.0,2755,38607,1262,11846,45,425,"['62fc6280-e66f-4e03-a93f-c04f2b11f383', 'fdf7e73f-40be-436a-8744-41ade2834450']","['0x08b77f02cf073f606c7d8f06b4ea0b7f6623bf33ff9fb3480a7c32946caea942', '0x889354e0b66b0c08a8c25c516b2eaeb767737268e6d00d634b6b55dd49dc9638']"
0x1426FBd146942e153653863cbe633780c17268DA,ImaginAIryNFTs,31.0,31.0,20,20,10,10,0,0,['3464991c-1190-4445-97c3-0ae78521592c'],['0x56bd727483bc9dc466cd4146b63e11946599c9ca8c73c52f898dfdb45c5daec8']
0x16420FC422F1Ae747Cc6BbC7075C466efBA07b4d,Bond,460.0,526.0,75,108,1,1,2,1,['22a0a8ea-0acf-4669-9d8d-d0cfa10e1104'],['0xe3c4817b00bdf6104bb41a3294c83c93e484624f29a6ff53d2c1e30812db5a1a']
0x18C18eFB421B205a77d5cE858eb640059542F6a5,Bitmon ,1424017.0,1424017.0,86939,86939,1,1,2920,1460,['5225cd1b-ea62-411e-afc6-8b0b28164186'],['0xf10d919aa90d5daebe30a6f7bdc0742e6c92188bcdfb4990b6719ea18f23bc51']
0x1b9706227704F49e412ABC9da7Dd7D35aFa60c22,NFTarot,2150.0,2150.0,1540,1540,709,709,18,9,['9b4e49fb-b436-41eb-8cf2-d66f53bab05a'],['0xbcd719fcb192a415bc74db85af5f48d0b887d93685de18c8c96d5927a0b6c439']
0x1d671d1B191323A38490972D58354971E5c1cd2A,Based Bits,4469.0,6367.0,192,294,121,170,49,35,['08868559-3e11-4d15-9ec4-6a589a2d91f2'],['0xb60f9a21fa64b2eade53c6d07224a0ee6ab12e951a5904a79f1805bfe40d395b']
0x1e23166194aB72B70Faf90aA20Adab36607B4c78,NPC Labs,747.0,747.0,92,92,9,9,1,0,['0c682377-2b21-414c-8ae2-51a2aec4fc10'],['0x85b08eccb4e27c55f5a7d08a857ebc705edc72f94fe1f8780ff6e3a4cf1a4f1b']
0x1e4c7ff127B2321eD05c43AF5E1015dFd8885F30,Overtime Markets,207521.0,207593.0,2974,2975,1670,1670,130,65,['3fe23b54-e0a8-4869-9e59-c2d1ef8fa5c7'],['0xbd9c770aee6f312fe71cb2ffd20b9c214d7b0804cf6e109d79a934fe24024c87']
